sim_id,z,tier,payout_per_ha,total_claims_php,loss_ratio
2666,-1.989926693494385,moderate,36000,360000000,2.226345083487941
2667,-1.2041348004069201,mild,18000,180000000,1.1131725417439704
2668,0.3983457380015519,none,0,0,0
2669,0.04475658602362308,none,0,0,0
2670,-1.8661608131691017,moderate,36000,360000000,2.226345083487941
2671,0.7525228379910732,none,0,0,0
2672,-0.4256843745423953,none,0,0,0
2673,1.2441703163351114,none,0,0,0
2674,0.4503492792820906,none,0,0,0
2675,1.1828074825979302,none,0,0,0
2676,-1.9639781111040078,moderate,36000,360000000,2.226345083487941
2677,0.746612868701424,none,0,0,0
2678,1.0513237471019585,none,0,0,0
2679,0.5241710850637291,none,0,0,0
2680,-1.1155842797245146,mild,18000,180000000,1.1131725417439704
2681,-0.04776622165315996,none,0,0,0
2682,-1.9170289420794242,moderate,36000,360000000,2.226345083487941
2683,-0.5717302378396806,none,0,0,0
2684,-0.748196633636421,none,0,0,0
2685,0.3451789564096038,none,0,0,0
2686,2.1639511044401325,none,0,0,0
2687,0.33664634220441175,none,0,0,0
2688,-0.41786398353581994,none,0,0,0
2689,0.9236910207062854,none,0,0,0
2690,0.766766592335207,none,0,0,0
2691,0.24874814790393068,none,0,0,0
2692,-0.6572180349497074,none,0,0,0
2693,0.5831241691339635,none,0,0,0
2694,0.6906828676668241,none,0,0,0
2695,0.2918646799959481,none,0,0,0
2696,1.923074167463382,none,0,0,0
2697,2.306129748498748,none,0,0,0
2698,-0.9891952678431097,none,0,0,0
2699,0.40142740850975783,none,0,0,0
2700,-1.2323881732549187,mild,18000,180000000,1.1131725417439704
2701,-0.544689343472721,none,0,0,0
2702,-0.4345329590221164,none,0,0,0
2703,-0.14084519196323145,none,0,0,0
2704,1.758141270065268,none,0,0,0
2705,-0.8301414205772548,none,0,0,0
2706,0.5144277561222437,none,0,0,0
2707,0.7871310766277572,none,0,0,0
2708,0.24201551371752486,none,0,0,0
2709,0.5599168065616369,none,0,0,0
2710,-0.6504185090122642,none,0,0,0
2711,-0.4583926164049429,none,0,0,0
2712,-0.6804863217140237,none,0,0,0
2713,-2.192437327971486,moderate,36000,360000000,2.226345083487941
2714,0.6259870948548317,none,0,0,0
2715,-0.4154616828918783,none,0,0,0
2716,-0.17630383376965014,none,0,0,0
2717,0.6652591635589171,none,0,0,0
2718,0.049883516172502224,none,0,0,0
2719,-0.11145029288365894,none,0,0,0
2720,-0.5291513718982046,none,0,0,0
2721,1.6158622537797676,none,0,0,0
2722,0.1395105933333877,none,0,0,0
2723,0.11958369742568901,none,0,0,0
2724,0.97986575533867315,none,0,0,0
2725,0.37938434793219733,none,0,0,0
2726,-0.8802126194270237,none,0,0,0
2727,-0.40645297204655134,none,0,0,0
2728,-0.7771251596886692,none,0,0,0
2729,-1.6835020277648165,moderate,36000,360000000,2.226345083487941
2730,-0.1669825601019545,none,0,0,0
2731,0.5939482291160857,none,0,0,0
2732,-0.5181591407491714,none,0,0,0
2733,0.44119836360764036,none,0,0,0
2734,0.7556008650494568,none,0,0,0
2735,-0.11296086017734608,none,0,0,0
2736,-0.4746253877112301,none,0,0,0
2737,-0.7021219303599346,none,0,0,0
