"sim_id","n_events","loss"
219,2,20.1461522454868
220,3,7256.74426677975
221,0,0
222,13,314.47009532319
223,2,198.989365070317
224,0,0
225,6,215.561604472381
226,0,0
227,3,28380.3408337852
228,0,0
229,0,0
230,4,2.49641926306706
231,1,24201.7065479231
232,0,0
233,6,55.9541168281974
234,5,315.954506870131
235,0,0
236,19,422.669141891679
237,4,137.870988718979
238,1,4.291792142597
239,10,8850.68584806884
240,0,0
241,1,9.65352049112715
242,0,0
243,8,100.938700782566
244,0,0
245,6,65.6568363513817
246,2,17.6611360123301
247,8,149.942426081316
248,0,0
249,15,293.739617115654
250,4,2589.48120657184
251,1,9623.31464374256
252,6,64.0724966830215
253,9,256.735357436322
254,0,0
255,12,589.325341652086
256,0,0
257,6,101.554808440745
258,0,0
259,2,16.424164762397
260,0,0
261,9,171.584635771936
262,3,4.52957798438845
263,9,303.572830117377
264,5,126.868698646667
265,8,36.688458461674
266,0,0
267,10,52.306133309108
268,6,352.183676704928
269,0,0
270,0,0
271,4,37.2706142859415
272,15,2469.63258219189
273,0,0
274,0,0
275,8,177.749123306433
276,4,48.2166219346355
277,6,13.8962201329367
278,8,62.1492299997722
279,8,378.354920507691
280,0,0
281,10,151.925288176728
282,9,332.224446386573
283,7,2087.99047752637
284,3,7138.79296341855
285,0,0
286,0,0
287,0,0
288,3,634.216296223122
289,10,9942.06150853126
290,8,732.27554687433
291,0,0
292,0,0
293,0,0
294,2,19117.4410732372
295,0,0
296,5,3401.96015175488
297,0,0
298,0,0
299,7,13.8094506570462
300,0,0
301,0,0
302,2,870.626915681689
303,0,0
304,4,459.523986708961
305,12,947.374514211755
306,0,0
307,0,0
308,4,4360.33851336894
309,6,272.126796638912
310,0,0
311,0,0
312,0,0
313,0,0
314,8,225.695139953888
315,7,104.153745713651
316,0,0
317,0,0
318,0,0
319,6,1446.1751226824
320,0,0
321,0,0
322,5,19.5284147700779
323,5,141.165528673989
324,0,0
325,0,0
326,0,0
327,6,191.74757649483
328,1,7.42136994908526
329,2,45.2791048917454
330,8,1883.56857438958
331,2,13234.8955716586
332,7,121.950040161792
333,0,0
334,8,1034.43304965862
335,0,0
336,0,0
337,11,1520.70517132147
338,12,20199.1497893725
339,4,62.2835908594846
340,2,19.1321900160279
341,4,4.22613762294918
342,13,1794.71970219019
343,10,508.281104402222
344,0,0
345,8,872.951686541586
346,2,140.625088934759
347,5,104.750150599645
348,4,9.26547594212649
349,0,0
350,0,0
351,0,0
352,4,123.798759131148
353,6,181.999718587525
354,13,501.068886060293
355,8,5759.05799519895
356,7,128.986477381521
357,0,0
358,5,16.4653195324755
359,0,0
360,4,991.474009730424
361,9,846.349171576506
362,4,710.822511548254
363,1,7.01923477821813
364,5,549.86635103393
365,0,0
366,11,954.995355822029
367,3,1.14430740786262
368,0,0
369,0,0
370,10,954.84572414798
371,0,0
372,0,0
373,9,2832.74914155367
374,0,0
375,2,558.72180678361
376,12,2552.67450096364
377,14,8865.86082977718
378,16,395.098787504191
379,0,0
380,8,458.419469973848
381,15,117.117978673818
382,0,0
383,0,0
384,7,739.362347104868
385,0,0
386,0,0
387,0,0
388,6,398.98886663503
389,2,8325.40082886764
390,0,0
391,8,270.258358161592
392,6,1367.34040896475
393,0,0
394,9,1129.31103789149
395,0,0
396,0,0
397,2,4317.18513994946
398,5,221.843460391472
399,0,0
400,0,0
401,0,0
402,12,2166.73428769938
403,7,565.0272332214
404,4,79.8421585858992
405,0,0
406,0,0
407,8,193.339119882393
408,11,652.660637438034
409,0,0
410,0,0
411,10,1148.32180958196
412,0,0
413,5,234.611534997923
414,11,4416.27505772016
415,6,366.024017790217
416,0,0
417,4,18.3956815359381
418,4,547.414485117105
419,10,665.858701065647
